aliveTime,authTime,connectTime,httpType,ipAddress,position,speed
1分钟,2017/6/15 8:22,0.302,HTTPS,121.226.164.178:808,江苏,1.512
,,,,,,
1分钟,2017/6/15 8:22,0.065,HTTPS,220.160.10.195:808,福建福州,0.326
,,,,,,
102天,2017/6/15 8:21,0.194,HTTP,119.5.0.3:808,四川南充,0.974
,,,,,,
60天,2017/6/15 8:20,0.814,HTTPS,125.89.121.15:808,广东河源,4.071
,,,,,,
71天,2017/6/15 8:20,0.057,HTTP,125.89.123.99:808,广东河源,0.287
,,,,,,
489天,2017/6/15 8:15,0.053,HTTP,182.88.91.215:8123,广西南宁,0.269
,,,,,,
15分钟,2017/6/15 8:15,1.029,HTTP,175.155.241.188:808,四川德阳,5.146
,,,,,,
52分钟,2017/6/15 8:15,0.136,HTTPS,171.38.90.63:8123,广西玉林,0.684
,,,,,,
528天,2017/6/15 8:15,0.064,HTTP,182.90.58.168:8123,广西梧州,0.322
,,,,,,
1分钟,2017/6/15 8:11,0.054,HTTPS,114.99.0.32:808,安徽安庆,0.271
,,,,,,
30天,2017/6/15 8:11,0.95,HTTPS,119.7.76.181:808,四川德阳,4.75
,,,,,,
1分钟,2017/6/15 8:11,0.043,HTTPS,49.86.62.64:808,江苏扬州,0.215
,,,,,,
1分钟,2017/6/15 8:11,0.08,HTTPS,222.76.118.166:808,福建福州,0.404
,,,,,,
6天,2017/6/15 8:11,0.156,HTTP,123.169.87.223:808,山东淄博,0.782
,,,,,,
31天,2017/6/15 8:11,0.071,HTTP,221.229.44.77:808,江苏扬州,0.358
,,,,,,
1分钟,2017/6/15 8:11,0.057,HTTPS,125.106.251.131:808,浙江衢州,0.285
,,,,,,
1分钟,2017/6/15 8:11,0.081,HTTPS,110.73.31.128:8123,广西防城港,0.405
,,,,,,
1分钟,2017/6/15 8:11,0.065,HTTPS,114.230.98.172:808,江苏扬州,0.325
,,,,,,
103天,2017/6/15 8:10,0.045,HTTP,119.5.1.32:808,四川南充,0.229
,,,,,,
12天,2017/6/15 8:10,0.056,HTTPS,222.76.118.234:808,福建福州,0.283
,,,,,,
4小时,2017/6/15 8:06,0.049,HTTPS,222.76.118.135:808,福建福州,0.246
,,,,,,
51分钟,2017/6/15 8:02,0.06,HTTPS,123.170.96.230:808,山东日照,0.303
,,,,,,
8小时,2017/6/15 8:01,0.646,HTTP,123.163.163.183:808,河南三门峡,3.233
,,,,,,
63天,2017/6/15 8:00,0.138,HTTPS,36.99.207.173:808,浙江,0.693
,,,,,,
108天,2017/6/15 8:00,0.053,HTTP,175.155.243.174:808,四川德阳,0.269
,,,,,,
60天,2017/6/15 8:00,1.411,HTTPS,180.110.132.137:808,江苏南京,7.056
,,,,,,
1分钟,2017/6/15 8:00,1.222,HTTPS,60.167.21.231:808,安徽芜湖,6.111
,,,,,,
39天,2017/6/15 8:00,0.977,HTTP,123.169.90.224:808,山东淄博,4.887
